<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
ГАЗПРОМ ао	D	20110724	000000	202.7	202.7	202.7	202.7	0	0
ГАЗПРОМ ао	D	20110725	000000	200.98	201.75	199.25	201.21	43068710	0
ГАЗПРОМ ао	D	20110726	000000	201.11	202.79	200.36	201.4	40461390	0
ГАЗПРОМ ао	D	20110727	000000	201.53	203.04	199.77	199.88	49725990	0
ГАЗПРОМ ао	D	20110728	000000	199.55	202.35	199.14	202.1	41911330	0
ГАЗПРОМ ао	D	20110729	000000	200.51	201.54	198.4	199.44	45059270	0
ГАЗПРОМ ао	D	20110730	000000	199.44	199.44	199.44	199.44	0	0
ГАЗПРОМ ао	D	20110731	000000	199.44	199.44	199.44	199.44	0	0
ГАЗПРОМ ао	D	20110801	000000	202.5	204.67	201.57	202.09	55703050	0
ГАЗПРОМ ао	D	20110802	000000	201.6	201.8	199.53	200.51	44060650	0
ГАЗПРОМ ао	D	20110803	000000	198.8	198.9	192.47	193	75817670	0
ГАЗПРОМ ао	D	20110804	000000	194.6	194.99	186.86	187	89385900	0
ГАЗПРОМ ао	D	20110805	000000	180.1	184.95	176.68	181.8	147556880	0
ГАЗПРОМ ао	D	20110806	000000	181.8	181.8	181.8	181.8	0	0
ГАЗПРОМ ао	D	20110807	000000	181.8	181.8	181.8	181.8	0	0
ГАЗПРОМ ао	D	20110808	000000	175.26	179.45	169.5	169.9	108862610	0
ГАЗПРОМ ао	D	20110809	000000	162.6	169.9	154.05	166.7	186085810	0
ГАЗПРОМ ао	D	20110810	000000	170.5	170.84	156.84	157.7	126607820	0
ГАЗПРОМ ао	D	20110811	000000	161.5	165.58	153.11	164.99	163406090	0
ГАЗПРОМ ао	D	20110812	000000	166.42	170.65	162.21	169.5	120279210	0
ГАЗПРОМ ао	D	20110813	000000	169.5	169.5	169.5	169.5	0	0
ГАЗПРОМ ао	D	20110814	000000	169.5	169.5	169.5	169.5	0	0
ГАЗПРОМ ао	D	20110815	000000	171.67	174.8	170.85	174.41	64371980	0
ГАЗПРОМ ао	D	20110816	000000	172.5	172.5	168.73	171.1	73703750	0
ГАЗПРОМ ао	D	20110817	000000	171.59	176.43	169.42	175.5	65266490	0
ГАЗПРОМ ао	D	20110818	000000	172.96	173.79	166.1	169.65	75276910	0
ГАЗПРОМ ао	D	20110819	000000	166.27	170.5	161.51	169.56	107717210	0
ГАЗПРОМ ао	D	20110820	000000	169.56	169.56	169.56	169.56	0	0
ГАЗПРОМ ао	D	20110821	000000	169.56	169.56	169.56	169.56	0	0
ГАЗПРОМ ао	D	20110822	000000	166.96	169.9	165.39	168.95	75000470	0
ГАЗПРОМ ао	D	20110823	000000	170.43	171.28	167.37	169.12	67811630	0
ГАЗПРОМ ао	D	20110824	000000	170.61	174.29	169	173.5	72457510	0
ГАЗПРОМ ао	D	20110825	000000	173.84	175.43	170.1	170.78	65426740	0
ГАЗПРОМ ао	D	20110826	000000	171.8	173	168.85	172.8	67891250	0
ГАЗПРОМ ао	D	20110827	000000	172.8	172.8	172.8	172.8	0	0
ГАЗПРОМ ао	D	20110828	000000	172.8	172.8	172.8	172.8	0	0
ГАЗПРОМ ао	D	20110829	000000	174.8	178.06	174.33	177.73	47140210	0
ГАЗПРОМ ао	D	20110830	000000	178.2	179.15	175.92	177.18	59276150	0
ГАЗПРОМ ао	D	20110831	000000	178.21	179.4	176.27	178.08	63911650	0
ГАЗПРОМ ао	D	20110901	000000	177.9	178.79	174.17	177.35	65973520	0
ГАЗПРОМ ао	D	20110902	000000	175.11	176.3	170.65	171	61426670	0
ГАЗПРОМ ао	D	20110903	000000	171	171	171	171	0	0
ГАЗПРОМ ао	D	20110904	000000	171	171	171	171	0	0
ГАЗПРОМ ао	D	20110905	000000	169.13	170.67	167.08	169.61	52769590	0
ГАЗПРОМ ао	D	20110906	000000	167.91	171.52	167.43	167.94	61141610	0
ГАЗПРОМ ао	D	20110907	000000	171	174.45	170.71	174.01	59637470	0
ГАЗПРОМ ао	D	20110908	000000	174.29	175.98	172.51	175	53461790	0
ГАЗПРОМ ао	D	20110909	000000	174.11	174.2	168.29	168.79	65610180	0
